      0.166619791233; 1;2;3;4;9
      0.166615052679; 0;2;3;4;6;8
      0.166610232605; 2;3;4;6;7;8;9
      0.166593917013; 0;1;2;3;8
      0.166589757116; 2;3;4;9;10
      0.166587389296; 0;2;3;5;8
      0.166555963644; 1;5;7
      0.166354486356; 0;3;5;8;9
      0.166296166445; 2;3;4;5;7;8;9
      0.166220509086; 2;3;9;10
      0.166209421475; 1;2;4;7;9
      0.166119596747; 0;3;6;7;9;10
      0.166114603056; 0;2;6;7;8
      0.166112520841; 1;3;4;6;9
      0.166098809988; 0;3;5;8;9;10
      0.166080619735; 1;2;5;9
      0.166080276271; 2;3;4;10
      0.166060858459; 0;1;8;9;10
      0.166040708815; 2;5;6;7
      0.166032586263; 0;2;3;5;8;9
      0.165944525743; 2;3;7;9;10
      0.165922271716; 0;2;4;7;8;9
      0.165852057130; 1;2;3;5;7
      0.165839215594; 0;2;4;5;9
      0.165742747223; 0;3;5;7;9;10
      0.165735573939; 0;3;6;8;9;10
      0.165707173048; 0;2;4;6;9
      0.165705663320; 1;2;3;4;8;9
      0.165668462065; 0;2;7;8
      0.165635200267; 5;6;7
      0.165623962919; 0;1;5;8;9
      0.165548898776; 2;3;5;8
      0.165532420447; 0;1;3;7;10
      0.165478632175; 0;2;4;5;7;9
      0.165394137344; 0;2;3;4;8;9
      0.165295246331; 0;1;3;5;8;9
      0.165271469035; 0;1;6;9
      0.165243356121; 2;5;9;10
      0.165207302564; 1;2;3;5;7;9
      0.165191775117; 2;3;7;10
      0.165181636960; 0;3;6;7;8;10
      0.165179671523; 0;2;3;4;8
      0.165179355533; 0;1;3;4;8;9
      0.165136988924; 0;1;3;9;10
      0.165046394073; 5;9
      0.165037413448; 0;2;4;6
      0.165032657152; 3;4;6;7;8
      0.164922100096; 0;3;5;6;7
      0.164920676851; 0;1;2;5;7
      0.164875061646; 1;2;3;5
      0.164872541332; 1;2;7;9
      0.164851666688; 1;2;3;6;8
      0.164829562953; 1;2;3;4
      0.164814445514; 0;1;2;4;9
      0.164706886404; 1;7
      0.164593822789; 2;8;9;10
      0.164548971152; 0;2;3;4;5;7
      0.164434545820; 0;1;6;8;9
      0.164373403040; 6;7
      0.164238936689; 0;2;3;10
      0.164016228013; 4;9;10
      0.163946796902; 0;2;3;4;6
      0.163932808584; 1;7;10
      0.163910151816; 5;7;9;10
